feature,direction,lag,bucket_type,bucket,label,extreme_deciles,coverage,rows,row_share,events,rate,base,lift,ci_low,ci_high,rho,rho_deciles,sufficient,pass_build
ret_6m_skip1,HIGH,0,all,ALL,win_50,10,0.9990392167328793,39379,0.10018801631340463,5927,0.15051169405012824,0.11705605633874484,1.2858086865199625,1.2559292559464836,1.316270566084841,-0.2,10,True,False
ret_6m_skip1,HIGH,0,all,ALL,win_100,10,0.9990392167328793,39379,0.10018801631340463,1875,0.04761421061987354,0.027258549145021894,1.7467624695120323,1.6712088519492216,1.825553703204855,-0.22424242424242424,10,True,False
ret_6m_skip1,HIGH,0,all,ALL,launch_300,10,0.9990392167328793,39379,0.10018801631340463,482,0.01224002641001549,0.0065894756660077195,1.857511436479922,1.6997721841580467,2.0296909296669194,-0.296969696969697,10,True,False
ret_6m_skip1,HIGH,0,drawdown,0-10,win_50,10,0.99900697419777,30441,0.10019452371313183,4425,0.14536316152557407,0.10229774964699377,1.4209810286852764,1.3827131112565874,1.4601237893416363,-0.15151515151515152,10,True,False
ret_6m_skip1,HIGH,0,drawdown,0-10,win_100,10,0.99900697419777,30441,0.10019452371313183,1402,0.046056305640419175,0.022493655762147857,2.04752424983414,1.945366080458185,2.154775193291236,-0.15151515151515152,10,True,False
ret_6m_skip1,HIGH,0,drawdown,0-10,launch_300,10,0.99900697419777,30441,0.10019452371313183,345,0.0113333990341973,0.005368327853096745,2.1111600007178355,1.9008564814988982,2.3444348474524404,-0.4,5,True,False
ret_6m_skip1,HIGH,0,drawdown,10-20,win_50,10,0.9991517581739667,3895,0.10020323634586195,407,0.10449293966623877,0.08000823235831339,1.3060273497641053,1.1907874240253844,1.4310084242285903,-0.030303030303030304,10,True,False
ret_6m_skip1,HIGH,0,drawdown,10-20,win_100,10,0.9991517581739667,3895,0.10020323634586195,107,0.027471116816431322,0.015538576316534177,1.7679301022706986,1.4663500298304655,2.129435133446037,,2,True,False
ret_6m_skip1,HIGH,0,drawdown,10-20,launch_300,10,0.9991517581739667,3895,0.10020323634586195,40,0.010269576379974325,0.004321988114532685,2.3761232349165593,1.7471013706499872,3.228432452216975,,0,False,False
ret_6m_skip1,HIGH,0,drawdown,20-30,win_50,10,0.9987687761635066,2843,0.1001338405184559,696,0.24481181850158285,0.18702451394759087,1.308982514293209,1.2263512783994466,1.3952960990004633,0.7333333333333333,10,True,False
ret_6m_skip1,HIGH,0,drawdown,20-30,win_100,10,0.9987687761635066,2843,0.1001338405184559,247,0.08688005627857896,0.03927162581008735,2.21228570211786,1.962640321465585,2.4903207422268636,,4,True,False
ret_6m_skip1,HIGH,0,drawdown,20-30,launch_300,10,0.9987687761635066,2843,0.1001338405184559,41,0.014421385860007034,0.004825302902225979,2.988700637498684,2.206796005307285,4.042185325444293,,0,False,False
