feature,direction,lag,bucket_type,bucket,label,decile,rows,row_share,events,rate,base,coverage,lift,ci_low,ci_high,sufficient,window
ret_6m_skip1,HIGH,0,all,ALL,win_50,1,39361,0.10014222072962542,6510,0.16539213942735195,0.11705605633874484,0.9990392167328793,1.4129310742259147,1.3818543765608537,1.4445656764733832,True,build
ret_6m_skip1,HIGH,0,all,ALL,win_50,2,39278,0.0999310522044213,5152,0.13116757472376395,0.11705605633874484,0.9990392167328793,1.1205535093731693,1.092340634144409,1.1493826525090072,True,build
ret_6m_skip1,HIGH,0,all,ALL,win_50,3,39294,0.09997175939000283,4466,0.1136560289102662,0.11705605633874484,0.9990392167328793,0.9709538529246243,0.9444663691484754,0.9980866011514016,True,build
ret_6m_skip1,HIGH,0,all,ALL,win_50,4,39283,0.09994377319991553,4078,0.10381080874678614,0.11705605633874484,0.9990392167328793,0.8868469688263826,0.8614095062056948,0.9129463244725214,True,build
ret_6m_skip1,HIGH,0,all,ALL,win_50,5,39265,0.09989797761613632,3703,0.09430790780593404,0.11705605633874484,0.9990392167328793,0.8056644889267356,0.7813070274150786,0.8307000301494619,True,build
ret_6m_skip1,HIGH,0,all,ALL,win_50,6,39313,0.10002009917288088,3686,0.09376033373184443,0.11705605633874484,0.9990392167328793,0.8009866098727464,0.776708575018253,0.82594281071009,True,build
ret_6m_skip1,HIGH,0,all,ALL,win_50,7,39306,0.10000228977918896,3807,0.09685544191726454,0.11705605633874484,0.9990392167328793,0.8274278576153089,0.8027849234099612,0.8527439107526233,True,build
ret_6m_skip1,HIGH,0,all,ALL,win_50,8,39271,0.0999132428107294,3966,0.10099055282524,0.11705605633874484,0.9990392167328793,0.8627537607536223,0.8376272628467518,0.8885470670171175,True,build
ret_6m_skip1,HIGH,0,all,ALL,win_50,9,39301,0.09998956878369473,4714,0.11994605735223023,0.11705605633874484,0.9990392167328793,1.0246890345008899,0.9975648569598968,1.0524478579575758,True,build
ret_6m_skip1,HIGH,0,all,ALL,win_50,10,39379,0.10018801631340463,5927,0.15051169405012824,0.11705605633874484,0.9990392167328793,1.2858086865199625,1.2559292559464836,1.316270566084841,True,build
ret_6m_skip1,HIGH,0,all,ALL,win_100,1,39361,0.10014222072962542,2303,0.05850969233505246,0.027258549145021894,0.9990392167328793,2.1464712602188447,2.0629795553291306,2.2331240496797995,True,build
ret_6m_skip1,HIGH,0,all,ALL,win_100,2,39278,0.0999310522044213,1276,0.03248637914354091,0.027258549145021894,0.9990392167328793,1.1917868031312207,1.12912475698298,1.257803334463053,True,build
ret_6m_skip1,HIGH,0,all,ALL,win_100,3,39294,0.09997175939000283,929,0.02364228635415076,0.027258549145021894,0.9990392167328793,0.8673347296794204,0.8139090954605909,0.9241769152601544,True,build
ret_6m_skip1,HIGH,0,all,ALL,win_100,4,39283,0.09994377319991553,789,0.02008502405620752,0.027258549145021894,0.9990392167328793,0.7368339360011594,0.6876340306885584,0.7894768699614977,True,build
ret_6m_skip1,HIGH,0,all,ALL,win_100,5,39265,0.09989797761613632,639,0.016274035400483892,0.027258549145021894,0.9990392167328793,0.5970250035650172,0.5528183100459301,0.6447036574498098,True,build
ret_6m_skip1,HIGH,0,all,ALL,win_100,6,39313,0.10002009917288088,610,0.015516495815633505,0.027258549145021894,0.9990392167328793,0.5692341046136424,0.526118573009694,0.6158227884667716,True,build
ret_6m_skip1,HIGH,0,all,ALL,win_100,7,39306,0.10000228977918896,639,0.016257059990841094,0.027258549145021894,0.9990392167328793,0.5964022481295578,0.5522413274842636,0.644031629614966,True,build
ret_6m_skip1,HIGH,0,all,ALL,win_100,8,39271,0.0999132428107294,681,0.017341040462427744,0.027258549145021894,0.9990392167328793,0.6361688720177046,0.5905074212142896,0.6852940954800777,True,build
ret_6m_skip1,HIGH,0,all,ALL,win_100,9,39301,0.09998956878369473,973,0.02475763975471362,0.027258549145021894,0.9990392167328793,0.9082522926292648,0.8535754090428433,0.9663371209500569,True,build
ret_6m_skip1,HIGH,0,all,ALL,win_100,10,39379,0.10018801631340463,1875,0.04761421061987354,0.027258549145021894,0.9990392167328793,1.7467624695120323,1.6712088519492216,1.825553703204855,True,build
